No.,Test-Code,Cathode,Anode,Anode Solution,Anode Thickness (μ),Anode Foil,NEC Layer,NEC (Watt),NEC (Minute),Protect Layer,Protect (Watt),Protect (Time),Combined Mass,Energy Discharge Cycle 1,Energy Discharge Cycle 2,Energy Discharge Cycle 3,Energy Discharge Cycle 4,Energy Discharge Cycle 5,Energy Discharge Cycle 6,Energy Discharge Cycle 7,Energy Discharge Cycle 8,Energy Discharge Cycle 9,Energy Discharge Cycle 10,Energy Discharge Cycle 15,Energy Discharge Cycle 20,Energy Discharge Cycle 30,Energy Discharge Cycle 50,Energy Discharge Cycle 100
25,20210608-131101-06-5,NMC,SBR,,25,Cu,,,,,,,0.0695,3.284,3.597,3.661,3.643,3.647,3.575,3.533,3.438,3.398,3.374,2.96,2.597,1.973,,
26,20210608-131236-06-6,NMC,SBR,,25,Cu,,,,,,,0.074,2.33,2.666,2.589,2.611,2.524,2.375,2.359,2.262,2.176,2.076,1.756,1.542,1.461,1.471,
27,20210608-131706-06-7,NMC,PVdF,,25,Al,,,,,,,0.0689,0.217,0.253,0.287,0.317,0.345,0.37,0.395,0.415,0.437,0.457,0.517,0.561,0.607,0.594,0.162
28,20210608-131821-06-8,NMC,PVdF,,25,Al,,,,,,,0.0761,4.953,5.118,4.842,4.166,3.626,4.438,2.855,5.068,5.424,5.366,4.426,2.013,1.348,,
29,20210608,NMC,PVdF,,25,Al,,,,,,,0.0745,5.418,4.506,3.573,1.9515,0.951,0.88,0.81,0.8,0.571,0.628,0.627,0.614,0.609,0.709,
30,20210608-172515-07-1,LFP,LA133,,50,Cu,,,,,,,0.064,0.439,0.378,0.337,0.31,0.291,0.277,0.264,0.253,0.243,0.238,0.214,0.175,0.148,0.136,
31,20210608-172758-07-2,NMC,SBR,,25,Al,,,,,,,0.0666,0.259,0.252,0.246,0.23,0.159,0.139,0.122,0.061,0.119,0.136,0.136,0.082,,,
32,20210608-172823-07-3,NMC,SBR,,25,Al,,,,,,,0.0661,0.144,0.106,0.244,0.242,0.226,0.204,0.183,0.16,0.144,0.129,,,,,
33,20210608-172900-07-4,NMC,SBR,,25,Al,,,,,,,0.0605,0.004,0.017,0,0.008,0.158,0.073,0.076,0.077,,,,,,,
34,20210608-173600-07-5,NMC,SBR,,25,Cu,,,,,,,0.0736,0.253,0.245,0.27,0.262,0.241,0.226,0.211,0.199,0.177,0.17,,,,,
35,20210608-173653-07-6,NMC,SBR,7-1.5-1.5,25,Cu,,,,,,,0.069,0.385,0.36,0.338,0.284,0.276,0.261,0.252,0.246,0.241,0.235,,,,,
36,20210608-173717-07-7,NMC,SBR,7-1.5-1.5,25,Cu,,,,,,,0.0719,0.298,0.605,0.822,0.88,0.86,0.851,0.889,0.876,0.888,0.884,0.775,0.001,0.001,0.332,
37,20210608-173741-07-8,NMC,SBR,,25,Cu,,,,,,,0.0734,0.276,0.303,0.326,0.331,0.329,0.322,0.308,0.296,0.288,0.279,0.246,0.224,0.193,0.16,0.127
38,20210609,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0687,0.607,0.806,0.975,1.128,1.244,1.32,1.38,1.319,0.72,0.766,0.831,0.786,0.111,0.085,0.065
39,20210609,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.066,0.322,0.48,0.436,0.42,0.384,0.325,0.309,0.246,0.219,0.13,0.037,,,,
40,20210609,NMC,PVdF,,25,Cu,,,,,,,0.0689,4.531,5.125,5.191,5.402,5.257,4.93,4.792,4.534,4.269,4.037,3.286,3.003,2.601,2.07,
41,20210609,NMC,PVdF,,25,Cu,,,,,,,0.0718,4.08,4.511,5.088,5.229,5.385,5.345,5.465,5.431,5.221,5.178,3.826,1.246,1.358,0.587,2.021
42,20210609,NMC,PVdF,,25,Cu,,,,,,,0.0717,4.03,4.697,5.087,5.285,5.439,5.483,5.634,5.697,5.709,5.717,6.184,0,0,0,0
43,20210609,NMC,SBR,,25,Cu,,,,,,,0.0688,0.033,0.03,0.03,0.029,0.029,0.029,0.029,0.028,0.028,0.029,0.029,0.029,0.028,0.027,0.014
44,20210609,NMC,SBR,,25,Cu,,,,,,,0.0737,2.154,2.759,3.067,2.461,3.411,3.62,3.618,3.657,3.407,3.192,2.315,2.179,1.319,0.974,
45,20210609,NMC,SBR,,25,Cu,,,,,,,0.0736,0.309,0.055,0.055,0.042,0.042,0.043,0.135,0.159,0.109,0.035,0.084,0.096,0.044,0.038,0
46,20210609-165918-07-1,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0658,0.457,0.466,0.491,0.523,0,0,,,,,,,,,
47,20210609-170025-07-3,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.071,0.398,0.289,0.307,0.294,0.46,0.471,0.251,0.165,0.041,0.007,0,0,,,
48,20210609-170042-07-4,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0625,0.139,0.132,0.089,0.068,0.019,0,0,0,,,,,,,
49,20210609-170436-07-7,NMC,SBR,8-0.4-0.8-0.8,25,Cu,,,,,,,0.0739,0.457,0.498,0.501,0.542,0.28,0.001,0.001,,,,,,,,
50,20210609-170456-07-8,NMC,SBR,8-0.4-0.8-0.8,25,Cu,,,,,,,0.0742,0.348,0.035,0.031,0.074,0.042,,,,,,,,,,
51,20210610-163534-07-1,NMC,SBR,9.25-1.5-2.5-3.5,50,Cu,,,,,,,0.0744,0.826,0.693,0.689,0.713,0.577,0.509,0.471,0.447,0.559,0.676,0.541,0.37,0.0076,1.099,0.002
52,20210610-163715-07-2,NMC,SBR,9.25-1.5-2.5-3.5,25,Cu,,,,,,,0.0804,2.015,2.213,2.839,2.792,2.976,3.089,2.815,2.487,1.29,0.611,2.6,0.003,0.003,0.007,
53,20210611-143442-01-2,NMC,PVdF,811,25,Cu,,,,,,,0.0749,0.753,0.629,0.198,0.004,,,,,,,,,,,
54,20210611-143530-01-3,NMC,PVdF,811,25,Cu,,,,,,,0.0702,0.371,0.543,0.687,0.766,0.87,1.108,0.668,0.785,3.382,3.89,0.001,0.001,2.461,1.488,
55,20210615-16853-07-1,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0676,0.62,0.753,0.897,0.963,0.97,0.966,0.922,0.887,0.85,0.826,0.752,0.693,0.664,0.589,0.575
56,20210615-164915-07-2,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0637,0.548,0.703,1.036,1.624,1.918,2.015,2.041,2.125,2.329,2.383,2.535,2.524,2.663,2.579,
57,20210615-165000-07-3,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.066,1.016,1.607,2.061,2.336,2.575,2.726,2.824,2.894,2.939,3.023,2.952,2.915,2.916,2.781,0.132
58,20210615-165028-07-4,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0665,3.237,1.91,0.758,0.001,0.3,2.296,0.001,0.001,0.001,0.001,0.001,0.001,0.333,0.001,0.001
59,20210615-165550-01-2,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0638,1.326,1.779,1.989,2.11,2.193,2.242,2.286,2.318,2.35,2.389,2.35,2.413,2.707,2.423,
60,20210615-165625-01-3,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0663,4.24,4.625,4.697,4.233,3.617,4.126,4.436,4.232,4.289,1.877,2.986,1.206,0.949,0.199,0.001
61,20210615-165746-01-4,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0618,0.005,1.654,2.011,2.147,2.286,2.347,2.435,2.47,2.54,2.548,2.359,2.005,1.24,,
62,20210615-165825-01-5,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0628,1.65,2.141,2.477,3.228,3.801,4.117,4.257,4.268,4.169,4.025,2.9,2.265,1.503,,
63,2021016-120210-05-1,NMC,PVdF,811,25,Cu,,,,,,,0.0741,5.984,6.412,6.558,6.653,6.697,6.716,6.678,6.715,6.622,6.483,6.103,5.799,5.116,0.621,0.064
64,20210616-120255-05-2,NMC,PVdF,811,25,Cu,,,,,,,0.069,0.88,1.055,1.23,1.36,1.471,1.514,1.562,1.575,1.574,1.558,1.565,1.436,1.455,1.217,
65,20210616-120318-05-3,NMC,PVdF,811,25,Cu,,,,,,,0.0685,6.52,6.647,4.409,0.1,0.066,0.05,0.039,0.035,0.031,0.036,0.032,0.027,4.969,0.012,0.006
66,20210616-120339-05-4,NMC,PVdF,811,25,Cu,,,,,,,0.0749,7.212,7.451,7.498,7.461,7.302,7.225,7.064,6.884,6.547,6.224,,,,,
67,20210616-1204005-5,NMC,PVdF,811,25,Cu,,,,,,,0.0682,1.032,1.229,1.357,1.444,1.477,1.464,1.439,1.395,1.389,1.384,1.312,1.232,1.052,0.978,
68,20210616-120504-07-5,NMC,PVdF,811,25,Cu,,,,,,,0.0708,0.069,1.859,1.239,0.565,0.788,0.408,0.172,0.751,0.444,0.094,0.716,0.001,,,
69,20210616120546-07-7,NMC,PVdF,811,25,Cu,,,,,,,0.0705,1.52,1.622,1.134,0.001,0.001,0.001,1.443,0.774,0.433,0.352,0.001,0.001,,,
70,20210616-125619-07-8,NMC,PVdF,811,25,Cu,,,,,,,0.0698,0.581,0.653,0.638,0.551,0.466,0.397,0.415,0.27,0.154,0.271,0.001,,,,
71,20210616-120706-06-1,NMC,PVdF,811,25,Cu,,,,,,,0.0752,2.616,0.895,0.785,1.21,0.288,1.896,0.734,0.832,1.465,0.797,0.472,4.211,0.014,0.011,0
72,20210617-150409-07-7,NMC,PVdF,811,25,Cu,,,,,,,0.0753,2.848,3.156,3.398,3.659,3.824,3.953,4.024,4.128,4.135,4.067,,,,,
73,20210617-151731-06-1,NMC,PVdF,811,25,Cu,CuBFO,100,20,Cu,20,5,0.0753,1.058,1.402,1.619,1.808,1.969,2.113,2.226,2.308,2.366,2.421,2.511,2.526,2.51,2.438,2.334
74,20210617-151830-06-2,NMC,PVdF,811,25,Cu,CuBFO,100,20,Cu,20,5,0.0739,6.562,6.621,2.952,6.421,3.297,,,,,,,,,,
75,20210617-151920-06-3,NMC,PVdF,811,25,Cu,CuBFO,100,20,Cu,20,5,0.0711,3.082,3.596,3.949,4.271,4.505,4.68,4.84,4.902,4.859,4.835,4.585,4.552,4.353,4.379,
76,20210617-152148-06-8,NMC,PVdF,811,25,Cu,CuBFO,100,20,Cu,20,5,0.0694,5.479,4.817,4.267,3.07,1.843,2.673,2.836,4.172,4.157,0,0,0,0,0,0
77,20210618-141538-05-8,NMC,PVdF,7-1.5-1.5,50,Cu,,,,,,,0.0754,1.169,1.331,1.506,1.682,1.874,2.055,2.204,2.345,2.528,2.664,3.132,3.268,3.107,2.738,
78,20210618-141641-06-2,NMC,PVdF,7-1.5-1.5,50,Cu,,,,,,,0.0732,0.83,0.936,1.03,1.125,1.193,1.247,1.321,1.359,1.469,1.556,1.8,1.936,1.935,1.52,1.445
79,20210618-142215-06-7,NMC,PVdF,811,30,Cu,,,,,,,0.0711,11.521,6.88,3.766,0.72,1.694,1.586,1.521,,,,,,,,
80,20210618-142321-07-1,NMC,PVdF,811,30,Cu,,,,,,,0.0719,1.286,1.826,1.188,1.839,1.309,1.103,0.966,0.9,0.657,0.017,,,,,
81,20210618-142402-07-4,NMC,PVdF,811,30,Cu,,,,,,,0.0768,0.478,1.879,2.186,2.419,2.704,2.992,3.191,3.672,3.978,4.227,4.299,3.717,3.383,3.174,0
82,20210618-142507-07-5,NMC,PVdF,811,30,Cu,,,,,,,0.0763,1.494,1.843,2.099,2.315,2.537,2.767,2.93,3.125,3.361,3.414,3.622,3.815,3.559,3.105,3.021
83,20210621,NMC,PVdF,7-1.5-1.5,30,Cu,,,,,,,0.0811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,20210621,NMC,PVdF,7-1.5-1.5,30,Cu,,,,,,,0.0842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,20210621,NMC,PVdF,7-1.5-1.5,30,Cu,,,,,,,0.079,4.888,5.831,6.571,7.155,7.531,7.699,7.868,7.966,7.932,7.824,,,,,
86,20210621,NMC,PVdF,7-1.5-1.5,30,Cu,,,,,,,0.08,4.144,4.909,5.37,5.681,5.759,5.718,5.399,5.469,5.38,5.358,5.077,,,,
87,20210621,NMC,PVdF,811,30,Cu,,,,,,,0.0771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,20210621,NMC,PVdF,811,30,Cu,,,,,,,0.0725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,20210621,NMC,PVdF,811,30,Cu,,,,,,,0.0705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,20210621,NMC,PVdF,811,30,Cu,,,,,,,0.0723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,20210621,NMC,PVdF,811,30,Cu,,,,,,,0.0695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,20210621,NMC,PVdF,811,30,Cu,,,,,,,0.0721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,20210621,NMC,PVdF,811,30,Cu,,,,,,,0.0774,3.678,4.15,2.571,2.273,0.001,0.001,0.001,3.853,3.998,4.084,3.524,2.405,0.001,0.001,0.001
94,20210621,NMC,PVdF,811,30,Cu,,,,,,,0.0769,0.687,0.967,1.36,1.522,1.018,0,0,0,0,0,0,0,0,0,0
95,20210621,NMC,PVdF,811,30,Cu,,,,,,,0.069,0.045,0.068,0.088,0.117,0.065,0.006,0.003,0.003,0.004,0.004,0.006,0.008,0.372,0,0
96,20210621,NMC,PVdF,811,30,Cu,,,,,,,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,20210621-133726-07-1,NMC,PVdF,811,30,Cu,,,,,,,0.0715,2.853,3.518,4.266,4.837,5.193,5.38,5.044,3.962,3.457,2.669,0.669,0.426,0.369,0.307,0.76
98,20210621-133752-07-3,NMC,PVdF,811,30,Cu,,,,,,,0.0698,1.706,1.972,2.006,1.637,1.994,1.877,2.346,1.82,1.354,0.752,1.609,0.011,,,
99,20210621-133811-07-6,NMC,PVdF,811,30,Cu,,,,,,,0.0736,0.802,1.087,1.314,1.515,1.659,1.809,1.946,2.027,2.007,1.987,1.17,0.394,0.018,0.02,0.012
100,20210621,NMC,PVdF,811,30,Cu,CuBFO,100,20,Cu,20,5,0.0707,4.433,5.204,5.756,6.147,6.245,,,,,,,,,,
101,20210624,NMC,PVdF,7-1.5-1.5,25,Cu,,,,,,,0.0695,,,,,,,,,,,,,,,
102,20210624,NMC,,7-1.5-1.5,25,Cu,,,,,,,0.0678,,,,,,,,,,,,,,,
103,20210624,NMC,,7-1.5-1.5,25,Cu,,,,,,,0.0723,,,,,,,,,,,,,,,
104,20210624,NMC,,7-1.5-1.5,25,Cu,,,,,,,0.0726,,,,,,,,,,,,,,,
105,20210624,NMC,,7-1.5-1.5,25,Cu,,,,,,,0.0719,,,,,,,,,,,,,,,
106,20210624,NMC,,811,25,Cu,,,,,,,0.069,,,,,,,,,,,,,,,
107,20210624,NMC,,811,25,Cu,,,,,,,0.0745,,,,,,,,,,,,,,,
108,20210624,NMC,,811,25,Cu,,,,,,,0.0749,,,,,,,,,,,,,,,
109,20210624,NMC,,811,25,Cu,,,,,,,0.0751,,,,,,,,,,,,,,,
110,20210624,NMC,,811,25,Cu,,,,,,,0.0746,,,,,,,,,,,,,,,
